Order,PlotNo,Date,Year,Forager ID,StartTime,StopTime,Duration_min,Species,CommonName,PartCollected,GrossWt_lb,GrossWt_n,EdibleWt_lb,EdibleWt_g,EdibleWt_n,ProcessingTime_min,excel_row,exclusion
137.0,Plot04,2016-09-02,2016,7,11:28:00,12:13:00,45,Euphorbia burmannii,bobbejaanbolle,,,,0.37,167.83,120.0,,75,author species exclusion
147.0,Plot05,2016-09-02,2016,7,13:22:00,15:39:00,137,Oxalis pes-caprae,suuring,Leaves,,,0.27,122.47,700.53,,76,author part exclusion
217.0,Plot04,2017-08-31,2017,7,12:49:00,13:29:00,40,Euphorbia burmannii,bobbejaanbolle,,,,0.24,108.86,57.0,,77,author species exclusion
218.0,Plot04,2017-08-31,2017,7,12:49:00,13:29:00,40,Freesia sp,vrot patat/ Mike bulb,Corm,,,0.03,13.61,3.0,,78,
220.0,Plot05,2017-08-31,2017,7,13:52:00,14:17:00,25,Mesembryanthemum atenus,,Leaves,,,2.43,1102.23,20.0,,79,author part exclusion
221.0,Plot10,2017-08-31,2017,7,10:02:00,10:52:00,50,Watsonia fourcadii,pypie,Corm,,,0.06,27.22,4.0,,80,
224.0,Plot10,2017-08-31,2017,7,10:02:00,10:52:00,50,Unknown sp 9,Langblaar,Corm,,,0.02,9.07,17.0,,81,author species exclusion
225.0,Plot01,2017-09-01,2017,8,14:30:00,14:50:00,20,,,,,,,,,,82,missing edible mass
228.0,Plot14,2017-09-01,2017,8,13:15:00,14:00:00,45,Pelargonium lobatum,platblaar patat,Tuber,,,0.29,131.54,11.0,,83,
232.0,Plot14,2017-09-01,2017,8,13:15:00,14:00:00,45,Asparagus asparagoides,creeper,Tuber,,,0.55,249.48,2.0,,84,author species exclusion
235.0,Plot15,2017-09-01,2017,8,11:19:00,11:47:00,28,Euphorbia burmannii,,,,,0.04,18.14,4.0,,85,author species exclusion
236.0,Plot16,2017-09-01,2017,8,09:00:00,09:40:00,40,Chasmanthe aethiopica,pypie,Corm,,,0.12,54.43,6.0,,86,
241.0,Plot17,2017-09-01,2017,8,10:19:00,10:41:00,22,Kedrostis nana,,Tuber,,,0.12,54.43,1.0,,87,
244.0,Plot19,2017-09-01,2017,8,15:55:00,16:25:00,30,Unknown sp 10,,,,,0.07,31.75,1.0,,88,author species exclusion
9.0,Plot10,2015-10-09,2015,9,11:03:00,12:55:00,112,Watsonia fourcadii,waspypie,Corm,7.725,148.0,2.12,961.62,148.0,57,89,
100.0,Plot02,2015-09-07,2015,10,09:49:00,12:21:00,152,Cyphia digitata,baroe,Tuber,,,0.015,6.8,4.0,,90,
101.0,Plot02,2015-09-07,2015,10,09:49:00,12:21:00,152,Satyrium longicolle,?,Tuber,,,0.49,222.26,88.0,,91,
126.0,Plot03,2015-09-08,2015,10,12:35:00,13:13:00,38,Babiana patula,bobbejaantjie,Corm,0.1,10.0,0.025,11.34,10.0,2.5,92,
133.0,Plot04,2015-09-09,2015,10,12:27:00,13:01:00,34,Freesia sp,vrot patat/ Mike bulb,Corm,0.0225,4.0,0.01,4.54,4.0,,93,
140.0,Plot05,2015-09-09,2015,10,14:20:00,16:20:00,120,Oxalis pes-caprae,suuring,Leaves,,,1.25,566.99,250.0,,94,author part exclusion
143.0,Plot05,2015-09-09,2015,10,14:20:00,16:20:00,120,Oxalis pes-caprae,suuring (nuts),nuts,,,0.03,13.61,200.0,,95,
145.0,Plot05,2015-09-09,2015,10,14:20:00,16:20:00,120,Oxalis pes-caprae,suuring (Root),Root,,,0.2,90.72,0.0,,96,
8.0,Plot10,2015-10-09,2015,11,11:03:00,12:55:00,112,Watsonia fourcadii,waspypie,Corm,5.68,146.0,2.085,945.74,146.0,40,97,
,Plot13,2017-12-31,2017,12,14:43:00,15:40:00,57,Prionium serratum,palmiet,Meristem,,,0.94,426.38,14.0,,98,author species exclusion
37.0,Plot13,2015-11-12,2015,13,09:54:00,12:07:00,133,Prionium serratum,palmiet,Meristem,12.315,44.0,4.0,1814.37,58.0,,99,author species exclusion
88.0,Plot18,2016-08-31,2016,14,10:35:00,14:31:00,236,Cyphia digitata,baroe,Tuber,,,0.11,49.9,2.0,,100,
40.0,Plot13,2016-10-19,2016,15,14:41:00,15:27:00,46,Prionium serratum,palmiet,Meristem,,,2.78,1260.99,10.0,,101,author species exclusion
