age_ka,PC1,sigma,q025,q25,median,q75,q975
228.0,-65.45,6.79,-80.39,-72.38,-67.78,-63.57,-53.85
229.0,-65.06,6.97,-76.6,-68.81,-64.22,-59.75,-48.78
230.0,-59.11,8.12,-73.94,-64.87,-59.37,-53.77,-43.0
231.0,-51.45,9.5,-71.41,-58.9,-52.69,-45.64,-34.05
232.0,-41.76,9.78,-64.11,-51.6,-44.77,-37.84,-25.49
233.0,-31.59,9.65,-55.79,-43.96,-37.27,-30.48,-18.92
234.0,-26.47,9.23,-48.17,-36.1,-29.79,-23.28,-12.27
235.0,-21.38,9.05,-41.7,-29.15,-23.3,-17.11,-6.3
236.0,-15.03,8.65,-38.02,-25.5,-19.98,-14.2,-3.4
237.0,-9.44,7.89,-36.19,-24.0,-18.82,-14.06,-4.69
238.0,-14.82,7.64,-36.23,-25.13,-19.85,-14.54,-6.94
239.0,-21.09,8.31,-42.1,-29.32,-23.48,-18.19,-9.7
240.0,-26.31,9.54,-51.68,-36.86,-30.29,-24.12,-14.84
241.0,-35.14,11.06,-62.85,-45.45,-37.51,-30.9,-19.38
242.0,-44.9,11.35,-70.17,-53.4,-46.01,-38.14,-25.03
243.0,-53.72,13.94,-78.84,-61.65,-53.41,-44.25,-22.33
244.0,-58.16,14.8,-86.18,-70.12,-61.61,-52.43,-28.82
245.0,-54.47,15.51,-94.02,-77.6,-68.69,-57.82,-31.75
246.0,-73.1,15.29,-99.84,-83.2,-74.67,-65.07,-33.85
247.0,-80.67,15.9,-103.93,-89.06,-80.38,-70.73,-44.67
248.0,-86.71,11.84,-108.53,-94.7,-87.12,-78.86,-63.57
249.0,-88.3,11.47,-113.32,-98.97,-91.62,-83.46,-67.55
250.0,-91.78,11.89,-116.99,-101.83,-94.38,-86.35,-70.79
251.0,-94.31,12.64,-121.22,-103.67,-96.01,-87.71,-71.6
252.0,-94.5,13.98,-124.4,-105.21,-96.7,-87.68,-69.21
253.0,-95.65,15.37,-125.79,-105.39,-96.4,-86.01,-66.56
254.0,-91.97,15.42,-125.08,-104.43,-95.37,-85.46,-65.0
255.0,-86.9,15.0,-122.85,-103.13,-94.47,-85.29,-62.25
256.0,-90.3,14.86,-120.89,-101.98,-94.4,-85.32,-58.5
257.0,-93.53,13.45,-115.4,-100.68,-93.81,-86.51,-63.22
258.0,-93.71,9.74,-110.67,-98.27,-92.25,-85.94,-72.6
259.0,-89.89,8.38,-105.76,-95.82,-90.12,-84.67,-73.2
260.0,-81.06,8.34,-102.07,-92.5,-87.18,-81.48,-69.33
261.0,-78.3,8.1,-97.55,-88.58,-83.77,-78.02,-64.74
262.0,-77.68,7.99,-95.22,-87.39,-82.82,-77.8,-63.24
263.0,-77.5,7.75,-95.57,-87.95,-83.39,-78.16,-64.72
264.0,-85.38,7.98,-96.3,-89.19,-84.69,-79.39,-65.2
265.0,-84.54,8.57,-97.51,-90.74,-86.76,-80.33,-63.91
266.0,-82.09,8.24,-100.42,-93.88,-89.38,-83.56,-66.92
267.0,-82.77,8.23,-102.76,-95.33,-91.3,-85.41,-69.7
268.0,-93.08,8.29,-105.22,-98.08,-93.75,-88.36,-71.69
269.0,-97.2,8.13,-105.72,-99.81,-95.75,-90.44,-74.37
270.0,-98.21,7.59,-106.96,-99.44,-94.95,-90.25,-76.66
271.0,-89.95,8.74,-106.36,-97.14,-91.75,-85.4,-72.7
272.0,-80.22,8.89,-103.98,-92.51,-86.67,-80.75,-68.03
273.0,-76.12,9.05,-95.65,-86.06,-80.67,-74.51,-60.21
274.0,-74.38,10.08,-90.81,-81.53,-75.63,-68.06,-51.7
275.0,-67.56,10.91,-87.92,-77.67,-70.75,-62.98,-45.78
276.0,-61.85,11.39,-85.09,-73.26,-66.07,-57.79,-39.84
277.0,-56.75,11.7,-81.33,-68.29,-60.78,-52.68,-35.27
278.0,-53.52,11.69,-76.99,-64.02,-56.39,-47.92,-30.72
279.0,-50.13,11.32,-72.06,-59.28,-51.86,-44.0,-28.17
280.0,-46.06,10.87,-68.1,-55.39,-47.69,-40.46,-25.86
281.0,-39.89,10.49,-64.17,-51.93,-44.55,-37.16,-24.11
282.0,-37.94,10.12,-60.7,-48.22,-41.57,-34.25,-20.73
283.0,-36.69,9.61,-57.69,-45.91,-39.53,-33.12,-19.92
284.0,-35.06,9.13,-57.35,-45.07,-38.93,-32.75,-20.51
285.0,-35.22,8.91,-57.53,-45.57,-39.15,-33.0,-22.68
286.0,-36.57,8.56,-57.52,-46.42,-40.75,-34.57,-23.9
287.0,-37.85,8.06,-58.54,-49.69,-44.45,-38.54,-27.87
288.0,-42.69,7.5,-61.7,-53.22,-48.14,-43.41,-32.08
289.0,-51.85,6.73,-65.11,-56.74,-52.49,-48.04,-38.34
290.0,-56.69,5.79,-67.24,-59.6,-56.17,-52.35,-43.98
291.0,-58.53,5.45,-68.42,-61.9,-58.71,-55.26,-45.73
292.0,-56.55,6.25,-69.2,-62.59,-58.84,-54.91,-43.86
293.0,-54.88,7.04,-69.64,-62.13,-57.86,-53.4,-41.51
294.0,-53.23,7.88,-69.59,-61.07,-56.0,-50.99,-38.94
295.0,-52.4,8.67,-69.62,-59.81,-54.62,-48.6,-36.37
296.0,-48.95,9.48,-69.27,-59.17,-53.07,-46.76,-31.55
297.0,-48.35,10.18,-68.92,-57.93,-51.17,-44.51,-29.19
298.0,-47.6,10.68,-68.21,-55.55,-49.56,-41.94,-26.13
299.0,-45.33,10.85,-67.89,-54.0,-47.24,-40.05,-23.81
300.0,-42.88,10.97,-65.95,-51.87,-45.24,-38.05,-22.3
301.0,-39.59,11.07,-62.9,-49.3,-42.45,-35.29,-19.17
302.0,-38.01,11.11,-61.01,-47.15,-40.66,-33.31,-16.17
303.0,-33.06,11.36,-59.05,-47.03,-39.81,-32.79,-13.66
304.0,-35.35,11.39,-57.74,-46.35,-38.83,-32.21,-13.53
305.0,-39.42,11.35,-56.45,-44.43,-37.8,-30.31,-11.93
306.0,-35.78,11.62,-56.32,-44.48,-37.7,-29.91,-10.9
307.0,-30.55,11.97,-56.58,-43.07,-36.2,-28.35,-9.17
308.0,-31.07,11.69,-53.72,-39.64,-33.07,-25.66,-6.86
309.0,-27.9,11.35,-49.42,-37.11,-30.33,-23.29,-4.7
