seq339,name,year,ethref,latitude,longitude,wldsec,subpop,fishing,cmat,crr,density,density_per_km2,nomov,dismov,distance_km_year,km_per_move,tlpop
183,Saline_Valley,1860,,36.65,-117.79,NoAmer,n,0.0,14.13416667,135.406,2.32,0.0232,14.0,180.0,289.68192,20.691565714285712,65.0
184,Antarianunts-So.Paiute,1860,,37.86,-110.72,NoAmer,n,15.0,13.73166667,163.539,3.45,0.0345,10.0,200.0,321.8688,32.18688,234.0
185,East_Monoowens_Valley,1870,Steward 1933,36.88,-118.18,NoAmer,n,5.0,12.7775,141.961,38.04,0.3804,2.0,17.0,27.358848000000002,13.679424000000001,2100.0
186,Kawich_Mountains,1860,,37.92,-116.45,NoAmer,n,0.0,12.2275,214.081,1.99,0.0199,12.0,270.0,434.52288000000004,36.210240000000006,105.0
187,Kaibab,1860,Kelly 1964 Euler 1972  SOUTHERN PAIUTE  res. Knack 1975,36.9,-112.55,NoAmer,n,0.0,12.01,288.549,3.71,0.0371,8.0,200.0,321.8688,40.2336,425.0
188,Mono_Lake-(Kuzedika),1870,Davis 1965 (LRB estimate pers./hh),38.11,-118.85,NoAmer,n,7.0,11.74,205.86,5.9,0.059000000000000004,11.0,215.0,346.00896,31.45536,170.0
189,Deep_Springs,1860,Steward 1938,37.28,-118.0,NoAmer,n,0.0,11.65833333,131.374,3.54,0.0354,8.0,195.0,313.82208,39.22776,23.0
190,Salmon_Eater_Shoshoni,1860,,42.94,-115.3,NoAmer,n,20.0,10.98333333,219.045,6.9,0.069,12.0,210.0,337.96224,28.163520000000002,400.0
191,Kuyuidokado-Pyramid_Lk,1860,Fowler 1966,40.0,-119.6,NoAmer,n,30.0,11.06666667,160.113,18.53,0.18530000000000002,3.0,33.0,53.108352000000004,17.702784,485.0
193,Cattail_Eater_Paiute,1870,Fowler 1992,40.12,-118.7,NoAmer,n,20.0,10.86166667,120.185,22.0,0.22,5.0,90.0,144.84096,28.968192,481.0
194,Fish_Lake-Paiute,1860,Steward 1938,37.69,-118.14,NoAmer,n,20.0,10.5375,105.182,3.89,0.038900000000000004,9.0,150.0,241.40160000000003,26.822400000000002,100.0
195,No.Paiute-Honey_Lake,1870,,40.27,-120.44,NoAmer,n,10.0,10.28916667,285.091,10.6,0.106,9.0,165.0,265.54176,29.504640000000002,385.0
