camp,resource,day,daily_gain_kcal_per_capita,cumulative_gain_kcal_per_capita,complete_camp
9,tot_rat,1,12955.0296962083,12955.0296962083,True
9,tot_rat,2,15197.083994395,28152.1136906033,True
9,tot_rat,3,8296.408509537105,36448.5222001404,True
9,tot_rat,4,3524.240842575193,39972.7630427156,True
9,tot_rat,5,7250.721949496205,47223.4849922118,True
9,tot_rat_only,1,11922.21184,11922.21184,True
9,tot_rat_only,2,14345.1783619048,26267.3902019048,True
9,tot_rat_only,3,7427.727217777701,33695.1174196825,True
9,tot_rat_only,4,2507.4493155555974,36202.5667352381,True
9,tot_rat_only,5,6691.037257142903,42893.603992381,True
9,tot_tuber,1,234.838324051968,234.838324051968,True
9,tot_tuber,2,806.450288640002,1041.28861269197,True
9,tot_tuber,3,489.2465084416001,1530.53512113357,True
9,tot_tuber,4,812.9018909491201,2343.43701208269,True
9,tot_tuber,5,404.8936621585599,2748.33067424125,True
10,tot,1,2031.57009072773,2031.57009072773,True
10,tot,2,1239.0074383646097,3270.57752909234,True
10,tot,3,1326.6122626355605,4597.1897917279,True
10,tot,4,801.3362634308496,5398.52605515875,True
10,tot_meat,1,600.216558983333,600.216558983333,True
10,tot_meat,2,65.48250352941193,665.699062512745,True
10,tot_meat,3,1020.087600415225,1685.78666292797,True
10,tot_meat,4,91.79098411765017,1777.57764704562,True
10,tot_rat,1,9007.73677644202,9007.73677644202,True
10,tot_rat,2,5464.23722146748,14471.9739979095,True
10,tot_rat,3,5202.881618377902,19674.8556162874,True
10,tot_rat,4,7454.3562634308,27129.2118797182,True
10,tot_rat_only,1,6976.16668571428,6976.16668571428,True
10,tot_rat_only,2,4225.22978310292,11201.3964688172,True
10,tot_rat_only,3,3876.269355742301,15077.6658245595,True
10,tot_rat_only,4,6653.019999999999,21730.6858245595,True
10,tot_tuber,1,698.5875625344,698.5875625344,True
10,tot_tuber,2,626.4297725952,1325.0173351296,True
10,tot_tuber,3,239.0887914556199,1564.10612658522,True
10,tot_tuber,4,155.24168056320013,1719.34780714842,True
11,tot,1,3046.83858041144,3046.83858041144,True
11,tot,2,774.9593776362899,3821.79795804773,True
11,tot,3,951.9591646854901,4773.75712273322,True
11,tot,4,3851.8613693481793,8625.6184920814,True
11,tot,5,472.9953887419106,9098.61388082331,True
11,tot,6,2615.50853024549,11714.1224110688,True
11,tot,7,2798.1455064326,14512.2679175014,True
11,tot,8,2048.7287497745,16560.9966672759,True
11,tot,9,2515.1108255401996,19076.1074928161,True
11,tot,10,2058.4492483899994,21134.5567412061,True
11,tot,11,3130.515712812401,24265.0724540185,True
11,tot,12,2135.583096210601,26400.6555502291,True
11,tot,13,1368.9493649664,27769.6049151955,True
11,tot,14,2789.3057167283005,30558.9106319238,True
11,tot,15,2068.853308013797,32627.7639399376,True
11,tot,16,838.8009457135995,33466.5648856512,True
11,tot,17,893.2491744197032,34359.8140600709,True
11,tot,18,2443.108517446497,36802.9225775174,True
11,tot,19,1376.9762316211054,38179.8988091385,True
11,tot,20,13093.141937881497,51273.04074702,True
11,tot,21,3613.7954052671994,54886.8361522872,True
11,tot,22,1780.3758554891028,56667.2120077763,True
11,tot,23,1549.6212942383936,58216.8333020147,True
11,tot,24,6088.101761185906,64304.9350632006,True
11,tot,25,3147.756488586303,67452.6915517869,True
11,tot,26,442.3499555558956,67895.0415073428,True
11,tot,27,2520.339388888504,70415.3808962313,True
11,tot_meat,1,260.526407209653,260.526407209653,True
11,tot_meat,2,464.960802046036,725.487209255689,True
